Borough	0
Barking and Dagenham	127208
Barnet	101142
Bexley	94062
Borough of Stop	1
Brent	184556
Bromley	158466
CO18 (City Airport)	573
CO18 (Heathrow Airport)	3954
Camden	173356
City of Westminster	401541
Croydon	255367
Ealing	171050
Enfield	125433
Greenwich	194496
Hackney	174133
Hammersmith and Fulham	108498
Haringey	161101
Harrow	83373
Havering	113886
Hillingdon	137016
Hounslow	124749
Islington	148411
Kensington and Chelsea	100964
Kingston Upon Thames	82557
Lambeth	252588
Lewisham	164248
Merton	72809
Newham	279399
Redbridge	155294
Richmond Upon Thames	39506
Southwark	274802
Sutton	65810
Tower Hamlets	276867
Waltham Forest	167948
Wandsworth	115041
